"ID","IntDate","H4","G3_EDU","H1","AGE","A1","B8_1","A7_1","A10","A13_1","A13_2","A13_3","C8_1","C8_2","C8_3","C8_4","C8_5","C8_6","W5"
"27900896","2022-06-22",0,"Non-University","Male",54,2,6,0,NA,NA,0,0,0,0,0,0,0,0,0
"27900903","2022-06-21",0,"University","Female",64,3,5,0,2,NA,0,0,0,0,1,1,1,1,0
"27900905","2022-06-17",0,"Non-University","Male",51,2,6,1,3,NA,0,0,0,0,0,0,1,1,0
"27900908","2022-05-27",0,"Non-University","Female",61,1,5,0,3,NA,0,0,0,0,0,0,0,0,0
"27900915","2022-05-26",0,"University","Female",61,3,4,0,3,NA,1,0,1,1,0,1,1,1,0
"27900916","2022-08-12",0,"University","Male",69,3,6,1,3,NA,0,0,0,0,0,0,1,0,1
"27900919","2022-06-10",0,"Non-University","Female",68,3,6,0,3,NA,0,1,0,0,0,1,1,1,0
"27900923","2022-06-06",0,"Non-University","Male",66,3,5,0,3,NA,0,0,1,0,0,0,0,1,1
"27900924","2022-06-16",0,"University","Male",58,3,5,1,3,NA,0,0,1,1,0,1,1,1,0
"27900927","2022-08-12",0,"Non-University","Male",62,3,1,0,2,NA,0,0,0,0,0,0,0,0,0
"27900933","2022-06-06",0,"Non-University","Male",68,1,4,0,3,NA,0,0,0,0,0,0,0,0,1
"27900934","2022-05-27",0,"Non-University","Male",54,1,5,0,1,NA,0,0,0,0,0,0,1,1,0
"27900935","2022-08-12",0,"Non-University","Female",53,3,0,0,3,NA,0,0,0,1,0,0,0,0,NA
"27900938","2022-06-23",1,"Non-University","Female",57,1,4,0,2,NA,0,0,1,1,0,0,0,0,1
"27900939","2022-05-31",0,"Non-University","Female",64,2,5,1,3,NA,0,0,1,0,0,0,1,1,0
